"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.960504171E1,3.162785643E1,-9.714916109E1,1.290980447E2,1.030223389E2,0.000000000E0,0.000000000E0,3.007359192E-2,3.790092468E0,3.332479477E0,1.900000000E1
3.060510900E1,3.162785649E1,-9.714916414E1,1.290831563E2,1.030074463E2,0.000000000E0,0.000000000E0,3.070637114E-2,3.790092468E0,3.335569620E0,1.900000000E1
3.160472962E1,3.162786183E1,-9.714916183E1,1.282915327E2,1.022158203E2,0.000000000E0,0.000000000E0,3.207991598E-2,3.790092468E0,3.095964670E0,2.000000000E1
3.260513790E1,3.162787313E1,-9.714915597E1,1.283576375E2,1.022819214E2,1.090000033E0,1.400000000E1,3.244676131E-2,3.790092468E0,3.084433794E0,2.200000000E1
3.360537478E1,3.162787601E1,-9.714915408E1,1.279275842E2,1.018518677E2,1.700000018E-1,3.050000000E1,3.290833569E-2,3.790092468E0,3.137389421E0,2.200000000E1
3.460502040E1,3.162787200E1,-9.714915282E1,1.274458279E2,1.013701172E2,4.799999893E-1,1.398999939E2,3.313462751E-2,3.790092468E0,3.266889572E0,2.200000000E1
3.560532874E1,3.162787025E1,-9.714915404E1,1.274205592E2,1.013448486E2,0.000000000E0,0.000000000E0,3.318379162E-2,3.790092468E0,3.201399326E0,2.200000000E1
3.660511816E1,3.162786999E1,-9.714915446E1,1.274173857E2,1.013416748E2,0.000000000E0,0.000000000E0,3.319690721E-2,3.790092468E0,3.326385975E0,2.200000000E1
3.760541134E1,3.162786988E1,-9.714915441E1,1.274255642E2,1.013498535E2,0.000000000E0,0.000000000E0,3.320844822E-2,3.790092468E0,3.385949850E0,2.200000000E1
3.860458394E1,3.162786981E1,-9.714915432E1,1.274367334E2,1.013610229E2,0.000000000E0,0.000000000E0,3.322328768E-2,3.790092468E0,3.259589911E0,2.300000000E1
